https://github.com/opendp/smartnoise-sdk

Repository and 	Why it matches
https://github.com/jenniferreyesdev/LLM-PII-Masking	PII masking using synthetic data for fine‑tuning a small BERT model.
https://github.com/dreyestech/LLM-PII-Masking-Synth-Data	PII masking with synthetic data for LLM fine‑tuning.
https://github.com/AbdullahShheik/PII-masking	Detect/mask PII with fine‑tuned transformer + zero‑shot LLM.
https://github.com/dmitrievaaxx/alfabank-hackathon-pii	PII detection/masking for LLM requests; fine‑tuned RuBERT.
https://github.com/oguzkarcan/ens491-pii-project	Fine‑tuned LLM for PII detection/masking.
https://github.com/MalikHashirShakeel/PII-Masking-Model	Pipeline for PII masking using fine‑tuning + LLM prompting.
https://github.com/Irtiza1/PII-Shield-Named-Entity-Redaction-System	PII redaction with fine‑tuned BERT + LLM prompting.
https://github.com/shreepatnaik/safellm	LLM fine‑tuning with built‑in PII masking guardrails.


Repository	Description
https://github.com/LucasMadrid/fraudstream	Real-time transaction ingestion pipeline with PII masking and fraud routing.
https://github.com/LesediM6/Retail-Customer-Intelligence	ETL pipeline masking customer PII in retail transaction data.


Repository	Why it matches your use‑case
https://github.com/LearnWithSushil/PII-Redaction-Using-NLP	PII redaction pipeline using NLP; adaptable to datasets.
https://github.com/Sushegaad/Demo-Semantic-Privacy-Guard-Library	Demo that reads PII datasets, redacts, and reports accuracy/benchmarks.
https://github.com/YuvaneshSankar/PII_Masking	LLM-focused PII masking/redaction project.
